[*] '/home/sense/Desktop/Lab03/gotoku.local'
    Arch:     amd64-64-little
    RELRO:    Partial RELRO
    Stack:    No canary found
    NX:       NX enabled
    PIE:      PIE enabled
main = 0x16ba0
Func         GOT Offset Symbol Offset
gop_412      1b5f8      12c20     
gop_413      1c858      150e0     
gop_414      1b640      12cb0     
gop_415      1c940      152b0     
gop_416      1b678      12d20     
gop_417      1c950      152d0     
gop_418      1b610      12c50     
gop_419      1c6b8      14da0     
gop_420      1d528      16a80     
gop_421      1c2a8      14580     
gop_422      1d550      16ad0     
gop_423      1c240      144b0     
gop_424      1b180      12330     
gop_425      1c438      148a0     
gop_426      1b0d8      121e0     
gop_427      1c450      148d0     
gop_428      1b1b0      12390     
gop_429      1c498      14960     
gop_430      1be60      13cf0     
gop_431      1d0c0      161b0     
gop_432      1bdc8      13bc0     
gop_433      1d2d0      165d0     
gop_434      1bfa8      13f80     
gop_435      1d258      164e0     
gop_436      1bfc8      13fc0     
gop_437      1d2f0      16610     
gop_438      1bff0      14010     
gop_439      1d300      16630     
gop_440      1b940      132b0     
gop_441      1cbc8      157c0     
gop_442      1b968      13300     
gop_443      1cbd8      157e0     
gop_444      1b8f0      13210     
gop_445      1cda8      15b80     
gop_446      1ba90      13550     
gop_447      1cd10      15a50     
gop_448      1bac0      135b0     
gop_449      1ce00      15c30     
gop_450      1c730      14e90     
gop_451      1b478      12920     
gop_452      1c6f8      14e20     
gop_453      1b490      12950     
gop_454      1c708      14e40     
gop_455      1b418      12860     
gop_456      1c900      15230     
gop_457      1b5f0      12c10     
gop_458      1c850      150d0     
gop_459      1b638      12ca0     
gop_460      1c270      14510     
gop_461      1d570      16b10     
gop_462      1c290      14550     
gop_463      1d520      16a70     
gop_464      1c2a0      14570     
gop_465      1d548      16ac0     
gop_466      1c238      144a0     
gop_467      1b178      12320     
gop_468      1c430      14890     
gop_469      1b0d0      121d0     
gop_470      1d290      16550     
gop_471      1be20      13c70     
gop_472      1d110      16250     
gop_473      1be48      13cc0     
gop_474      1d0a8      16180     
gop_475      1be58      13ce0     
gop_476      1d0b8      161a0     
gop_477      1bdc0      13bb0     
gop_478      1d2c8      165c0     
gop_479      1bfa0      13f70     
gop_480      1c800      15030     
gop_481      1b650      12cd0     
gop_482      1c928      15280     
gop_483      1b618      12c60     
gop_484      1c8b8      151a0     
gop_485      1b648      12cc0     
gop_486      1c880      15130     
gop_487      1b5d0      12bd0     
gop_488      1c980      15330     
gop_489      1b708      12e40     
gop_490      1b170      12310     
gop_491      1c478      14920     
gop_492      1b128      12280     
gop_493      1c410      14850     
gop_494      1b140      122b0     
gop_495      1c3c8      147c0     
gop_496      1b100      12230     
gop_497      1c4e8      14a00     
gop_498      1b210      12450     
gop_499      1c3b0      14790     
gop_500      1b9a8      13380     
gop_501      1ccb0      15990     
gop_502      1b9f8      13420     
gop_503      1ccd0      159d0     
gop_504      1ba08      13440     
gop_505      1cce8      15a00     
gop_506      1bfe8      14000     
gop_507      1d2b8      165a0     
gop_508      1c000      14030     
gop_509      1d2e8      16600     
gop_510      1d1c0      163b0     
gop_511      1bf00      13e30     
gop_512      1d1d8      163e0     
gop_513      1bf38      13ea0     
gop_514      1d200      16430     
gop_515      1c490      14950     
gop_516      1b158      122e0     
gop_517      1c4b8      149a0     
gop_518      1b1a8      12380     
gop_519      1c428      14880     
gop_520      1b5b8      12ba0     
gop_521      1c2f8      14620     
gop_522      1b038      120a0     
gop_523      1c320      14670     
gop_524      1b070      12110     
gop_525      1c340      146b0     
gop_526      1b0a0      12170     
gop_527      1c370      14710     
gop_528      1b670      12d10     
gop_529      1c920      15270     
gop_530      1c7a0      14f70     
gop_531      1b4f0      12a10     
gop_532      1c7c8      14fc0     
gop_533      1b518      12a60     
gop_534      1c7e0      14ff0     
gop_535      1b550      12ad0     
gop_536      1c820      15070     
gop_537      1baf0      13610     
gop_538      1cdd0      15bd0     
gop_539      1bb20      13670     
gop_540      1cce0      159f0     
gop_541      1bfe0      13ff0     
gop_542      1d2b0      16590     
gop_543      1bff8      14020     
gop_544      1d2e0      165f0     
gop_545      1bf98      13f60     
gop_546      1d288      16540     
gop_547      1bfc0      13fb0     
gop_548      1d2d8      165e0     
gop_549      1c030      14090     
gop_550      1bf30      13e90     
gop_551      1d1f8      16420     
gop_552      1c488      14940     
gop_553      1b150      122d0     
gop_554      1c4b0      14990     
gop_555      1b1a0      12370     
gop_556      1c420      14870     
gop_557      1b120      12270     
gop_558      1c460      148f0     
gop_559      1b188      12340     
gop_560      1c338      146a0     
gop_561      1b098      12160     
gop_562      1c368      14700     
gop_563      1b668      12d00     
gop_564      1c918      15260     
gop_565      1b690      12d50     
gop_566      1c938      152a0     
gop_567      1b5e8      12c00     
gop_568      1c8c8      151c0     
gop_569      1b630      12c90     
gop_570      1b510      12a50     
gop_571      1c7d8      14fe0     
gop_572      1b548      12ac0     
gop_573      1c818      15060     
gop_574      1bae8      13600     
gop_575      1cdc8      15bc0     
gop_576      1bb18      13660     
gop_577      1cdf0      15c10     
gop_578      1ba88      13540     
gop_579      1cd88      15b40     
gop_580      1bd70      13b10     
gop_581      1d078      16120     
gop_582      1bd48      13ac0     
gop_583      1cfd8      15fe0     
gop_584      1bf78      13f20     
gop_585      1cc90      15950     
gop_586      1b9a0      13370     
gop_587      1cca8      15980     
gop_588      1b9f0      13410     
gop_589      1ccc8      159c0     
gop_590      1d4d8      169e0     
gop_591      1c1c0      143b0     
gop_592      1d450      168d0     
gop_593      1c3e0      147f0     
gop_594      1d1a8      16380     
gop_595      1bed0      13dd0     
gop_596      1d1b8      163a0     
gop_597      1bef8      13e20     
gop_598      1d1d0      163d0     
gop_599      1bf28      13e80     
gop_600      1b8b0      13190     
gop_601      1cb98      15760     
gop_602      1b8c0      131b0     
gop_603      1cbb8      157a0     
gop_604      1b8d0      131d0     
gop_605      1d168      16300     
gop_606      1be80      13d30     
gop_607      1d188      16340     
gop_608      1bea0      13d70     
gop_609      1d0f0      16210     
gop_610      1cbf0      15810     
gop_611      1b3a0      12770     
gop_612      1c6a8      14d80     
gop_613      1b3b8      127a0     
gop_614      1c6c8      14dc0     
gop_615      1b3d0      127d0     
gop_616      1c6e8      14e00     
gop_617      1b3f0      12810     
gop_618      1cc48      158c0     
gop_619      1b960      132f0     
gop_620      1d4e0      169f0     
gop_621      1c200      14430     
gop_622      1d4e8      16a00     
gop_623      1c210      14450     
gop_624      1d4f8      16a20     
gop_625      1c228      14480     
gop_626      1d508      16a40     
gop_627      1c760      14ef0     
gop_628      1b4a0      12970     
gop_629      1c790      14f50     
gop_630      1bda8      13b80     
gop_631      1b000      12030     
gop_632      1c298      14560     
gop_633      1b020      12070     
gop_634      1c2c8      145c0     
gop_635      1d560      16af0     
gop_636      1c280      14530     
gop_637      1d588      16b40     
gop_638      1c2c0      145b0     
gop_639      1b058      120e0     
gop_640      1cbb0      15790     
gop_641      1b8c8      131c0     
gop_642      1d160      162f0     
gop_643      1be78      13d3c     
gop_644      1d180      16330     
gop_645      1be98      13d60     
gop_646      1d0e8      16200     
gop_647      1be30      13c90     
gop_648      1d118      16260     
gop_649      1be90      13d50     
gop_650      1b3c8      127c0     
gop_651      1c6e0      14df0     
gop_652      1b3e8      12800     
gop_653      1cc40      158b0     
gop_654      1b958      132e0     
gop_655      1cc60      158f0     
gop_656      1b970      13310     
gop_657      1cc08      15840     
gop_658      1b938      132a0     
gop_659      1cc28      15880     
gop_660      1c208      14440     
gop_661      1d4f0      16a10     
gop_662      1c220      14470     
